opinion_id,author,recommendation,stars,content,useful,useless,publish_date,purchase_date,pros,cons
16117620,l...w,Polecam,5/5,"Bardzo dobry i ładny sprzęt, turboszczotka przy psie i kocie rewelacja. Mały, zwrotny, solidny.",0,0,2022-05-23 15:13:08,2022-05-09 17:55:26,[],[]
16117620,l...w,Polecam,5/5,"Bardzo dobry i ładny sprzęt, turboszczotka przy psie i kocie rewelacja. Mały, zwrotny, solidny.",0,0,2022-05-23 15:13:08,2022-05-09 17:55:26,[],[]
